2025-04-17 04:51:11,953 - INFO - Created a socket
2025-04-17 04:51:11,953 - INFO - Created a socket
2025-04-17 04:51:16,624 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:23,630 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:27,635 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:31,256 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:37,648 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:43,659 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:50,663 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:51:57,671 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:52:03,683 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:52:10,689 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:52:17,695 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:52:23,707 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
2025-04-17 04:52:30,711 - INFO - state.v: 3.211718917327866, nearest_index: (0,), min_diff_Index:5
